trialnum,filename,facehouse,girlboy
357,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
358,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
359,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
360,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
361,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
362,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
363,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
364,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
365,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
366,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,0
367,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,0
368,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
369,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
370,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
371,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
372,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
373,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
374,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,1
375,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,1
376,stimulus_presentation/stim/face_house/houses\house2.3.jpg,0,1
377,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
378,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
379,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,0
380,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
381,stimulus_presentation/stim/face_house/houses\house3.3.jpg,0,0
382,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
383,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
384,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
385,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
386,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
387,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
388,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
389,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
390,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,0
391,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
392,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
393,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
394,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
395,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
396,stimulus_presentation/stim/face_house/houses\house5.3.jpg,0,0
397,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
398,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
399,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
